Team,Year,Week,Day,Date,,,OT,Record,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
Was,2004,2,Sun,9/19/12,boxscore,L,,1,1/1/12,@,New York Giants,14,20,20,322,214,108,7,15,277,215,62,1,-25.56,13.58,4.35
Was,2004,3,Mon,9/27/12,boxscore,L,,1,1/2/12,,Dallas Cowboys,18,21,21,384,290,94,,14,287,237,50,,7.12,-6.09,1.87
Was,2004,4,Sun,10/3/12,boxscore,L,,1,1/3/12,@,Cleveland Browns,13,17,13,265,192,73,2,14,280,184,96,1,-12.52,8.4,-2.01
Was,2004,5,Sun,10/10/12,boxscore,L,,1,1/4/12,,Baltimore Ravens,10,17,9,107,55,52,2,15,232,76,156,3,-23.7,19.35,-5.54
Was,2004,6,Sun,10/17/12,boxscore,W,,2,2/4/12,@,Chicago Bears,13,10,18,311,93,218,1,9,160,34,126,1,-14.03,21.66,-3.31
Was,2004,7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2004,8,Sun,10/31/12,boxscore,L,,2,2/5/12,,Green Bay Packers,14,28,20,272,191,81,2,20,361,273,88,4,-7.39,-1.04,-2.39
Was,2004,9,Sun,11/7/12,boxscore,W,,3,3/5/12,@,Detroit Lions,17,10,15,229,73,156,,21,322,258,64,1,-10.01,4.43,10.6
Was,2004,10,Sun,11/14/12,boxscore,L,,3,3/6/12,,Cincinnati Bengals,10,17,17,268,181,87,3,19,316,217,99,3,-16.81,10.8,-0.2
Was,2004,11,Sun,11/21/12,boxscore,L,,3,3/7/12,@,Philadelphia Eagles,6,28,15,213,162,51,1,20,333,208,125,2,-14.64,-9.4,-3.43
Was,2004,12,Sun,11/28/12,boxscore,L,,3,3/8/12,@,Pittsburgh Steelers,7,16,10,156,105,51,1,15,207,100,107,,-16.94,4.68,0.09
Was,2004,13,Sun,12/5/12,boxscore,W,,4,4/8/12,,New York Giants,31,7,27,379,168,211,,7,145,107,38,,18.56,13.98,-7.8
Was,2004,14,Sun,12/12/12,boxscore,L,,4,4/9/12,,Philadelphia Eagles,14,17,19,312,224,88,1,15,312,245,67,2,-10.07,4.46,-2.83
Was,2004,15,Sat,12/18/12,boxscore,W,,5,5/9/12,@,San Francisco 49ers,26,16,17,337,209,128,1,15,254,199,55,4,-3.39,22.73,-5.02
Was,2004,16,Sun,12/26/12,boxscore,L,,5,5/10/12,@,Dallas Cowboys,10,13,15,233,149,84,3,21,306,217,89,2,-5.13,7.16,-7.02
Was,2004,17,Sun,1/2/12,boxscore,W,,6,6/10/12,,Minnesota Vikings,21,18,20,318,201,117,2,21,320,268,52,,5.93,-6.92,5.27
Was,2003,1,Thu,9/4/12,boxscore,W,,1,Jan-00,,New York Jets,16,13,17,327,167,160,2,11,158,101,57,,1.07,4.71,-4.3
Was,2003,2,Sun,9/14/12,boxscore,W,,2,Feb-00,@,Atlanta Falcons,33,31,23,435,310,125,2,17,283,184,99,2,-2.1,6.65,-3.2
Was,2003,3,Sun,9/21/12,boxscore,L,OT,2,2/1/12,,New York Giants,21,24,25,456,332,124,1,25,399,270,129,,10.41,-5.62,-4.08
